"ANGLE OF ATTACK (degree)","Freestream static pressure (Pa)","Freestream total pressure (Pa)","P1","P3","P5","P7","P9","P11","P13","P15","P17","P19","P21","P23","P2","P4","P6","P8","P10","P12","P14","P16","P18","P20","P22","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","xu","xl","xr"
0.020412,11.174996,160.56439,50.773756,-42.073828,-74.51503,-72.25201,-65.858765,-52.898556,-44.745375,-35.163165,-25.417225,-12.383958,-0.389806,8.414648,56.513102,-47.910854,-60.112053,-62.562535,-59.167588,-47.503375,-39.518422,-28.220184,-19.147635,-11.213125,1.025766,178.855295,180.626598,180.911945,184.303401,178.811681,175.500764,171.899867,150.17083,155.652071,177.392521,180.646818,179.269146,179.822026,0.0043,0.0098,-60
0.014248,12.783796,157.710717,48.490895,-41.445114,-72.628068,-69.973751,-63.689722,-51.072569,-42.617931,-33.453582,-23.879587,-11.004784,0.824731,9.132121,58.549672,-44.819991,-57.102071,-59.478529,-57.093798,-45.665905,-38.013254,-26.965281,-17.814095,-10.37263,0.828087,176.18262,177.609153,177.805084,180.631235,177.020196,172.756403,169.575063,147.950605,154.779011,174.253639,177.49681,175.585479,176.158292,0.0231,0.0431,-40
0.023716,13.432829,157.298461,50.847663,-38.018172,-70.975172,-68.647073,-62.647264,-50.484778,-42.269767,-33.168871,-23.523533,-10.831853,0.061042,8.890272,53.387923,-46.845074,-57.590715,-59.578661,-56.359605,-45.396366,-36.63159,-26.555316,-18.241499,-10.063078,1.414894,174.796107,176.113415,176.397118,178.884725,174.34804,170.061827,167.222269,145.850536,150.667604,172.05157,175.653509,175.003934,175.08251,0.0702,0.0976,-27.5
0.022988,13.721181,163.372331,56.124955,-37.791146,-73.979036,-71.697278,-65.710075,-53.052307,-45.136278,-34.924152,-25.052624,-12.320835,-0.439901,8.530567,52.470264,-51.138288,-61.165498,-63.782566,-59.87576,-47.92828,-39.664051,-28.570926,-19.326296,-11.571396,0.935286,181.522704,182.456329,183.205191,185.484962,181.342629,177.419781,175.946365,152.358376,156.619929,178.621138,182.828638,182.004184,182.258134,0.1165,0.1487,-17.5
2.899408,13.162642,158.063615,-140.327289,-169.714467,-152.01261,-129.560519,-107.202644,-84.868412,-67.296089,-50.197962,-32.171393,-18.906675,-8.417826,2.76366,145.779652,38.867759,2.284697,-11.081407,-19.931248,-18.029259,-13.992647,-6.739099,-1.746796,2.546012,6.586339,176.72288,177.97569,178.342235,180.325948,171.384947,152.398212,141.395519,155.065162,174.467956,174.649094,177.562063,175.844017,176.019652,0.1901,0.243,-10
2.901624,12.977111,159.248807,-155.244757,-179.78351,-157.244047,-134.234708,-110.731088,-86.917977,-68.947809,-51.472916,-33.20306,-19.915987,-9.057772,2.435921,150.66538,43.239014,4.996591,-9.216116,-19.043234,-17.475261,-14.17163,-6.810498,-1.76555,2.58744,6.545033,177.195361,178.094692,179.093062,181.124391,170.059026,150.115824,141.033654,158.851691,176.901853,176.293962,178.809479,177.04,177.372715,0.2893,0.3427,-5
2.900851,12.21812,157.05033,-152.554907,-178.918157,-153.351777,-132.521399,-108.982681,-85.767965,-67.276691,-49.959278,-32.669473,-19.12399,-8.653368,2.800793,150.133757,43.404354,4.49095,-9.015851,-18.644681,-17.126904,-13.751253,-6.35414,-1.59676,2.723656,6.940063,176.354701,177.171279,177.053599,178.588496,167.842604,148.346165,138.583563,157.921481,174.736769,174.077038,175.892658,174.700991,175.820274,0.3846,0.4393,0
2.902425,13.39488,160.316583,-139.154705,-171.821009,-152.05326,-131.864158,-109.156804,-85.659783,-68.129839,-51.042233,-33.268814,-19.468865,-8.346499,2.399111,147.214112,39.108825,2.251358,-11.0959,-20.284675,-17.7195,-14.080818,-7.095105,-1.66092,2.422722,6.633874,178.648996,180.18741,180.279462,181.85406,172.073955,153.409769,144.422063,159.864756,176.57835,176.94095,179.941627,177.546878,178.483818,0.4874,0.5383,5
5.857445,14.083485,158.374671,-349.753814,-297.302726,-224.087626,-187.103377,-145.174265,-105.287997,-83.835645,-61.503237,-40.998101,-24.879038,-10.930832,2.832436,175.149354,93.28937,45.191903,25.216188,8.865652,3.790734,3.76259,7.908127,9.411444,10.267568,10.006541,176.438273,177.746234,177.986216,179.670755,169.09874,146.390617,134.350467,157.488725,177.108683,175.582605,177.557757,175.07893,175.215868,0.5861,0.6349,10
5.850682,11.930743,160.201113,-361.558199,-307.638233,-229.848828,-192.461835,-149.574631,-108.158436,-86.421061,-63.722408,-43.276449,-26.433444,-11.800681,2.577995,178.67111,94.594563,44.667959,24.60189,7.644303,2.564349,2.622651,6.632495,8.725755,9.041956,9.472841,180.303007,181.000368,182.033256,182.231811,167.470415,143.213054,135.255131,161.318498,180.527674,178.713895,181.810102,179.576036,179.709133,0.6881,0.7363,17.5
5.853177,12.702707,158.576419,-375.380635,-312.428659,-232.680255,-192.407449,-147.920133,-107.248065,-85.576461,-62.513864,-42.151412,-25.689775,-11.260592,2.976447,176.680653,97.131868,47.272972,26.633191,9.328434,3.638612,3.666494,7.143143,9.016284,9.474135,9.0706,177.058815,177.950378,178.008899,178.532471,159.718344,136.56374,135.792265,162.387018,178.30823,175.928546,178.008562,175.648963,176.257651,0.7866,0.8392,27.5
5.858043,14.026074,158.049667,-353.177772,-299.012219,-225.876897,-186.925717,-144.905581,-105.579434,-84.333068,-62.250851,-41.88281,-25.897555,-11.712767,2.356489,173.552838,92.064532,43.878611,24.175999,6.998055,2.375899,2.432441,6.734164,8.371723,8.961419,9.159768,176.314889,177.188702,176.968457,178.15841,162.266656,136.395309,131.378903,157.051348,175.740093,173.863466,177.099002,174.246742,175.308295,0.8886,,40
8.882952,13.700422,155.348764,-575.862275,-448.321432,-283.913774,-225.02657,-169.496763,-121.249157,-92.668271,-65.180156,-42.001166,-22.946552,-9.009004,2.265109,167.401624,131.698149,79.513028,54.618167,32.373992,20.933208,17.342125,17.636423,16.60065,13.637173,9.114856,174.050206,173.932925,170.167945,162.573344,143.991412,128.527859,124.523114,131.703287,157.120431,171.954521,175.328571,172.844521,174.756045,,,60
8.885326,14.754899,158.207952,-576.205963,-447.442823,-285.188358,-226.485091,-170.904423,-122.930574,-93.663445,-65.659168,-42.666588,-23.949617,-10.178755,1.652254,170.751112,131.798015,78.740349,54.138916,31.936573,20.805087,17.156539,17.418937,16.169297,13.428375,9.066338,177.258205,177.74229,176.249517,173.195988,157.91834,142.147832,132.33888,128.486833,153.947051,174.761657,177.667725,175.371018,176.458349,,,
8.874815,12.966407,157.616329,-598.313703,-466.604855,-291.521943,-232.211723,-174.703183,-125.282392,-95.331932,-66.34859,-42.568287,-23.766165,-10.412639,0.892159,172.727736,135.165988,81.451262,56.807571,33.433615,21.38925,17.694146,17.64761,16.174233,13.091315,8.812929,177.785962,178.805085,178.700226,175.521536,156.5839,138.211521,128.954136,130.999523,158.057463,176.404874,178.269904,176.509439,177.396812,,,
8.873473,12.72087,156.793116,-584.360688,-449.394257,-289.765455,-229.340496,-173.801915,-125.087009,-95.989136,-67.588367,-44.163788,-24.801778,-9.983022,2.791751,172.071936,132.041064,79.479035,54.691949,32.980385,21.168365,18.213591,17.749279,16.71877,13.841331,9.426618,175.761139,176.720914,177.368855,176.414249,163.555228,145.932523,132.684419,125.729873,151.825719,173.835738,177.030437,174.720727,175.965186,,,
11.839572,17.606302,156.752572,-335.620501,-296.261718,-239.348221,-218.099502,-189.04293,-151.73888,-118.99223,-92.356279,-68.759098,-52.117301,-40.002088,-25.970779,169.167442,141.635075,92.366821,68.480879,44.106588,29.28437,23.412992,20.410108,16.042951,9.373713,3.610341,171.931282,155.957773,142.909028,127.064446,115.733588,109.366792,106.238567,101.943496,103.02812,103.040737,127.63394,165.104511,178.068557,,,
11.838205,18.836256,157.954307,-260.200295,-222.105568,-211.2949,-194.181406,-181.718987,-158.041322,-129.381233,-103.456404,-83.460195,-63.713863,-48.114372,-32.508114,173.969178,140.469429,91.290497,67.490427,43.014027,28.165346,22.323248,19.030175,14.768307,7.70399,2.204625,161.506766,141.644713,127.035469,110.798355,102.298107,97.263992,96.650792,96.070761,100.150732,106.817364,134.661008,167.30833,179.268455,,,
11.840017,17.639062,160.385022,-371.456555,-341.677298,-256.977026,-246.433702,-205.101413,-157.615477,-119.240777,-89.346755,-65.441849,-48.450902,-34.993326,-22.642053,169.791622,148.635234,97.390214,72.625496,46.992306,31.361213,25.045627,21.747925,17.271532,10.955276,4.241404,172.836102,159.153721,149.032677,138.79149,127.166591,120.673664,118.585985,112.765688,110.465046,108.518018,134.018419,172.930042,181.812174,,,
11.835197,17.141177,159.256591,-264.389515,-237.741566,-209.405642,-202.208381,-187.427561,-162.53384,-131.865717,-106.512283,-84.76441,-67.375988,-52.740294,-37.896911,178.173413,143.258712,92.823761,68.16039,43.316071,28.126748,22.078881,18.777812,14.239234,6.859186,1.417189,168.998348,147.197681,129.737002,116.484408,107.02418,102.121988,101.440014,101.462876,102.224334,106.739461,133.549727,168.59411,181.735922,,,
14.946829,25.854969,156.442489,-149.379186,-139.845725,-123.712434,-126.630622,-126.388827,-126.299634,-123.950349,-122.679678,-118.495466,-110.861206,-100.141733,-83.894937,184.163231,149.754254,99.8537,74.321815,47.15568,28.683989,18.750537,12.981042,5.020599,-6.991756,-10.125214,168.6736,129.670922,95.178227,67.722704,48.383522,40.135111,35.206598,34.566974,39.475666,39.107443,67.934833,113.808159,174.347386,,,
14.958746,26.204948,156.981891,-137.25663,-127.429857,-118.948148,-118.165926,-116.531289,-116.619936,-116.880895,-115.406389,-112.808144,-108.705487,-101.844274,-86.710583,185.505463,149.764175,100.224351,75.114968,47.849688,29.279504,19.271633,13.539398,5.301587,-7.577054,-10.662847,165.17573,110.964995,75.462431,49.830541,35.807416,31.040475,27.476134,28.820666,36.397746,44.707189,74.596222,123.381943,180.920255,,,
14.951487,26.483568,158.243631,-152.993051,-145.133953,-120.034561,-115.348426,-114.178993,-118.237754,-118.779518,-120.373384,-120.059405,-114.116975,-106.022666,-89.693811,186.714626,152.70524,101.540912,75.81787,47.819385,29.084567,19.113455,13.039608,4.764946,-7.753041,-10.815942,163.067663,109.343024,78.114325,54.548399,43.912673,37.883759,32.632887,33.064708,39.202545,45.022101,77.869778,127.38171,181.508156,,,
14.947188,26.506273,159.236806,-141.831961,-133.529415,-120.917395,-117.485942,-118.227199,-123.974697,-125.632973,-124.222905,-118.194645,-111.6246,-101.707925,-85.305666,187.340782,152.607359,101.479137,75.692704,47.665234,28.17313,18.465883,12.394389,4.414863,-8.431469,-11.375212,167.676982,115.523544,74.035727,50.277065,37.213935,33.285038,28.946921,30.478077,35.940334,46.391008,75.434899,129.496718,182.814676,,,
